X,Y,Value
-11,293,3.8778900000000003
-11,294,3.8778900000000003
-10,293,3.87526
-10,294,3.87263
-10,295,3.88315
-10,296,3.87263
-9,293,3.87526
-9,294,3.87263
-9,295,3.88052
-9,296,17.02
-8,293,3.87263
-8,294,3.87263
-8,295,17.02
-8,296,3.8778900000000003
-7,293,3.8778900000000003
-7,294,17.02
-7,295,3.8778900000000003
-7,296,3.87526
-6,293,3.8778900000000003
-6,294,3.8778900000000003
-6,295,3.88315
-6,296,3.8778900000000003
-5,293,3.87526
-5,294,3.87526
-5,295,3.88052
-5,296,3.87526
-4,293,3.87526
-4,294,17.02
-4,295,3.88052
-4,296,3.88052
-4,297,3.87526
-3,293,3.8778900000000003
-3,294,3.8778900000000003
-3,295,3.87263
-3,296,3.87526
-3,297,3.87526
-2,293,3.88315
-2,294,3.87526
-2,295,3.87263
-2,296,17.02
-2,297,3.88052
-1,293,3.87526
-1,294,3.87526
-1,295,3.87526
-1,296,3.87526
-1,297,17.02
0,293,3.8778900000000003
0,294,3.87263
0,295,17.02
0,296,3.88052
0,297,3.88052
1,293,3.8778900000000003
1,294,3.87526
1,295,3.87526
1,296,17.02
2,293,3.8778900000000003
2,294,3.87526
2,295,3.87263
2,296,3.87526
3,293,3.87526
3,294,3.8778900000000003
3,295,17.02
3,296,17.02
4,293,3.8778900000000003
4,294,17.02
4,295,17.02
4,296,3.87526
5,293,3.87526
5,294,3.87526
5,295,3.87263
5,296,3.87526
6,293,3.8778900000000003
6,294,3.8778900000000003
6,295,3.88315
6,296,3.87526
7,293,3.87263
7,294,17.02
7,295,3.88052
7,296,3.87263
8,293,3.87526
8,294,3.87526
8,295,17.02
8,296,3.8778900000000003
9,293,3.8778900000000003
9,294,3.87526
9,295,3.87263
10,293,3.8778900000000003
10,294,3.8778900000000003
10,295,3.87263
11,293,3.8778900000000003
11,294,3.8778900000000003
11,295,3.87526
12,293,3.87263
12,294,3.87263
12,295,3.8778900000000003
13,293,17.02
13,294,3.8778900000000003
14,293,3.87526
14,294,3.87263
15,293,3.8778900000000003
15,294,3.8778900000000003
16,293,3.8778900000000003
17,293,3.88052
18,293,17.02
32,285,3.87526
31,285,17.02
31,286,3.87526
30,285,3.8778900000000003
30,286,3.8778900000000003
29,285,17.02
29,286,3.8778900000000003
29,287,3.8778900000000003
28,285,3.8778900000000003
28,286,3.8778900000000003
28,287,3.87263
27,285,3.87526
27,286,17.02
27,287,3.87263
27,288,3.87526
26,285,3.8778900000000003
26,286,3.87263
26,287,3.88052
26,288,3.87263
26,289,3.87526
25,285,3.8778900000000003
25,286,3.8778900000000003
25,287,3.8778900000000003
25,288,3.87526
25,289,3.87263
24,285,3.8778900000000003
24,286,17.02
24,287,3.87263
24,288,3.87263
24,289,3.87526
24,290,3.87526
23,285,17.02
23,286,3.87526
23,287,3.88052
23,288,3.87263
23,289,3.87526
23,290,3.87526
22,285,17.02
22,286,4.44597
22,287,3.88052
22,288,17.02
22,289,3.8778900000000003
22,290,3.88315
22,291,3.87526
21,285,17.02
21,286,3.87263
21,287,3.87263
21,288,3.87263
21,289,3.87526
21,290,3.88315
21,291,3.87263
20,285,3.8778900000000003
20,286,17.02
20,287,3.88052
20,288,17.02
20,289,17.02
20,290,17.02
20,291,3.87526
20,292,3.87526
19,285,3.8778900000000003
19,286,17.02
19,287,3.8778900000000003
19,288,3.87526
19,289,17.02
19,290,3.87526
19,291,3.87263
19,292,3.87526
18,285,3.8778900000000003
18,286,3.87526
18,287,3.8778900000000003
18,288,3.87526
18,289,3.87263
18,290,3.88315
18,291,17.02
18,292,3.87526
17,285,17.02
17,286,3.87526
17,287,3.87526
17,288,3.87526
17,289,17.02
17,290,3.87526
17,291,3.87526
17,292,3.87526
16,285,3.8778900000000003
16,286,17.02
16,287,3.8778900000000003
16,288,3.87526
16,289,3.87263
16,290,3.8778900000000003
16,291,3.87526
16,292,3.87526
15,285,17.02
15,286,17.02
15,287,3.87526
15,288,3.87263
15,289,17.02
15,290,3.88052
15,291,3.87526
15,292,17.02
14,285,17.02
14,286,17.02
14,287,17.02
14,288,17.02
14,289,3.87263
14,290,3.88052
14,291,3.87526
14,292,3.87526
13,285,3.87263
13,286,17.02
13,287,3.8778900000000003
13,288,17.02
13,289,3.8778900000000003
13,290,17.02
13,291,3.87263
13,292,17.02
12,285,17.02
12,286,3.87263
12,287,3.88315
12,288,3.87526
12,289,17.02
12,290,3.88052
12,291,17.02
12,292,3.87263
11,285,17.02
11,286,3.87526
11,287,17.02
11,288,3.87263
11,289,3.88315
11,290,3.88052
11,291,17.02
11,292,17.02
10,285,3.87263
10,286,3.87263
10,287,3.87263
10,288,3.87263
10,289,3.87263
10,290,3.87263
10,291,3.87263
10,292,3.87263
9,285,3.87526
9,286,3.87526
9,287,3.88315
9,288,17.02
9,289,3.87263
9,290,3.88052
9,291,3.87263
9,292,3.87263
8,285,3.8778900000000003
8,286,3.8778900000000003
8,287,17.02
8,288,3.87526
8,289,3.88052
8,290,3.88315
8,291,3.87526
8,292,17.02
7,285,17.02
7,286,3.8778900000000003
7,287,3.88052
7,288,3.87526
7,289,17.02
7,290,3.88315
7,291,3.87526
7,292,3.8778900000000003
6,285,3.87526
6,286,3.87263
6,287,3.8778900000000003
6,288,17.02
6,289,17.02
6,290,3.87526
6,291,3.8778900000000003
6,292,3.87263
5,285,3.8778900000000003
5,286,17.02
5,287,3.88315
5,288,3.87526
5,289,3.87263
5,290,3.88315
5,291,3.87526
5,292,3.87526
4,285,3.8778900000000003
4,286,17.02
4,287,3.87263
4,288,3.87526
4,289,3.87263
4,290,3.87263
4,291,3.8778900000000003
4,292,3.8778900000000003
3,285,3.87263
3,286,3.87263
3,287,3.88052
3,288,3.88052
3,289,3.8778900000000003
3,290,3.88315
3,291,3.88052
3,292,3.87263
2,285,17.02
2,286,3.8778900000000003
2,287,3.87526
2,288,17.02
2,289,3.87526
2,290,3.88052
2,291,3.8778900000000003
2,292,3.87526
1,285,17.02
1,286,17.02
1,287,17.02
1,288,3.87526
1,289,3.87526
1,290,17.02
1,291,3.87526
1,292,3.87526
0,285,3.88052
0,286,3.87526
0,287,3.8778900000000003
0,288,3.8778900000000003
0,289,17.02
0,290,3.8778900000000003
0,291,17.02
0,292,17.02
-1,285,17.02
-1,286,3.88052
-1,287,3.88052
-1,288,3.87526
-1,289,3.87526
-1,290,3.88315
-1,291,3.87526
-1,292,3.8778900000000003
-2,285,3.87526
-2,286,3.87526
-2,287,3.88052
-2,288,3.8778900000000003
-2,289,3.87526
-2,290,3.8778900000000003
-2,291,3.87526
-2,292,3.87263
-3,285,3.87526
-3,286,3.87526
-3,287,17.02
-3,288,3.8778900000000003
-3,289,3.87526
-3,290,3.87526
-3,291,3.88052
-3,292,3.8778900000000003
-4,285,3.87526
-4,286,3.87526
-4,287,17.02
-4,288,3.87263
-4,289,3.87263
-4,290,3.87263
-4,291,3.87263
-4,292,3.87526
-5,285,3.8778900000000003
-5,286,3.87526
-5,287,3.8778900000000003
-5,288,3.8778900000000003
-5,289,3.87526
-5,290,3.8778900000000003
-5,291,3.8778900000000003
-5,292,3.8778900000000003
-6,285,3.87526
-6,286,3.87263
-6,287,3.87263
-6,288,3.88052
-6,289,3.8778900000000003
-6,290,3.88315
-6,291,3.87526
-6,292,3.88052
-7,285,3.8778900000000003
-7,286,17.02
-7,287,3.8778900000000003
-7,288,3.87263
-7,289,3.87526
-7,290,3.88052
-7,291,17.02
-7,292,3.87526
-8,285,3.8778900000000003
-8,286,3.8778900000000003
-8,287,3.88052
-8,288,3.87526
-8,289,3.87263
-8,290,3.8778900000000003
-8,291,3.87526
-8,292,3.87526
-9,285,17.02
-9,286,17.02
-9,287,3.88315
-9,288,17.02
-9,289,3.87263
-9,290,3.88052
-9,291,3.87526
-9,292,17.02
-10,285,3.87263
-10,286,3.87263
-10,287,3.8778900000000003
-10,288,3.87526
-10,289,3.87526
-10,290,3.87263
-10,291,3.87263
-10,292,3.87263
-11,285,3.87526
-11,286,3.87526
-11,287,3.88052
-11,288,3.87263
-11,289,3.87263
-11,292,3.87526
-12,285,3.87526
-12,286,3.87526
-12,287,3.88052
-12,288,3.87263
-12,289,3.8778900000000003
-13,285,3.87263
-13,286,3.87263
-13,287,3.87263
-14,285,3.8778900000000003
-14,286,3.8778900000000003
-15,285,3.87526
-15,286,3.87526
-16,285,3.88052
-16,286,3.8778900000000003
-17,285,3.8778900000000003
-18,285,3.88052
-19,285,17.02
-26,285,3.87526
-26,286,17.02
-26,287,3.8778900000000003
-27,285,3.8778900000000003
-27,286,17.02
-27,287,3.88315
-27,288,3.87526
-27,289,3.87526
-28,285,3.8778900000000003
-28,286,3.8778900000000003
-28,287,3.8778900000000003
-28,288,3.87526
-28,289,17.02
-28,290,3.88052
-29,285,3.87263
-29,286,3.87263
-29,287,3.87263
-29,288,17.02
-29,289,17.02
-30,285,3.87526
-30,286,3.8778900000000003
-30,287,3.87263
-30,288,3.87526
-30,289,3.87263
-31,285,3.8778900000000003
-31,286,3.8778900000000003
-31,287,3.87526
-31,288,3.87526
-32,285,3.8778900000000003
-32,286,3.8778900000000003
-32,287,3.88315
-33,285,3.87526
-33,286,3.87526
-33,287,3.88052
-34,285,3.8778900000000003
-34,286,3.87526
-35,285,3.87526
-35,286,3.87263
-36,285,3.87526
-46,277,3.8778900000000003
-45,277,3.87526
-45,278,3.87526
-44,277,3.87526
-44,278,3.87526
-44,279,3.8778900000000003
-43,277,3.87263
-43,278,3.87263
-43,279,3.87526
-43,280,17.02
-42,277,3.8778900000000003
-42,278,17.02
-42,279,3.88315
-42,280,3.87526
-41,277,3.87526
-41,278,3.87526
-41,279,17.02
-41,280,3.87526
-41,281,3.8778900000000003
-40,277,3.87526
-40,278,3.87526
-40,279,17.02
-40,280,3.87526
-40,281,3.87263
-40,282,3.87526
-39,277,17.02
-39,278,17.02
-39,279,3.87263
-39,280,3.87263
-39,281,3.88052
-39,282,3.88315
-39,283,3.88315
-38,277,3.8778900000000003
-38,278,17.02
-38,279,3.88315
-38,280,3.87526
-38,281,3.87526
-38,282,3.87263
-38,283,3.87526
-37,277,17.02
-37,278,3.8778900000000003
-37,279,3.87526
-37,280,17.02
-37,281,17.02
-37,282,3.88315
-37,283,3.87526
-37,284,3.87526
-36,277,3.8778900000000003
-36,278,3.87526
-36,279,3.88052
-36,280,3.87526
-36,281,3.87526
-36,282,3.8778900000000003
-36,283,3.87526
-36,284,3.87526
-35,277,3.87263
-35,278,17.02
-35,279,3.87526
-35,280,3.87526
-35,281,3.88052
-35,282,3.87526
-35,283,3.88052
-35,284,17.02
-34,277,3.87526
-34,278,3.87526
-34,279,3.87526
-34,280,3.87526
-34,281,17.02
-34,282,17.02
-34,283,3.87526
-34,284,17.02
-33,277,3.87526
-33,278,3.87526
-33,279,3.8778900000000003
-33,280,3.87526
-33,281,3.88052
-33,282,3.88052
-33,283,3.87526
-33,284,3.87263
-32,277,3.87526
-32,278,3.87526
-32,279,3.87263
-32,280,3.87263
-32,281,3.88052
-32,282,17.02
-32,283,3.87263
-32,284,3.87263
-31,277,3.8778900000000003
-31,278,3.8778900000000003
-31,279,3.87526
-31,280,3.87526
-31,281,3.87263
-31,282,3.87526
-31,283,3.87526
-31,284,3.8778900000000003
-30,277,3.8778900000000003
-30,278,3.8778900000000003
-30,279,3.8778900000000003
-30,280,4.96408
-30,281,3.87263
-30,282,3.87526
-30,283,3.87526
-30,284,3.8778900000000003
-29,277,3.8778900000000003
-29,278,3.8778900000000003
-29,279,3.88052
-29,280,3.87526
-29,281,3.87526
-29,282,3.8778900000000003
-29,283,3.87526
-29,284,3.87526
-28,277,3.87526
-28,278,3.87526
-28,279,3.88315
-28,280,17.02
-28,281,3.87263
-28,282,3.88052
-28,283,3.8778900000000003
-28,284,3.87526
-27,277,3.87526
-27,278,3.87526
-27,279,3.87526
-27,280,3.88052
-27,281,3.8778900000000003
-27,282,3.8778900000000003
-27,283,3.87526
-27,284,3.87526
-26,277,3.87526
-26,278,3.87526
-26,279,3.88315
-26,280,3.87526
-26,281,3.88052
-26,282,3.87263
-26,283,3.87526
-26,284,3.87526
-25,277,3.87263
-25,278,3.87526
-25,279,3.87526
-25,280,3.8778900000000003
-25,281,3.87526
-25,282,3.88052
-25,283,3.88052
-25,284,3.87263
-24,277,3.8778900000000003
-24,278,3.87526
-24,279,3.8778900000000003
-24,280,3.87526
-24,281,3.87263
-24,282,3.8778900000000003
-24,283,3.87526
-23,277,3.87526
-23,278,3.87526
-23,279,3.8778900000000003
-23,280,3.87263
-23,281,3.87526
-23,282,3.8778900000000003
-23,283,3.87263
-22,277,3.87526
-22,278,3.87526
-22,279,3.8778900000000003
-22,280,3.8778900000000003
-22,281,17.02
-22,282,3.8778900000000003
-22,283,3.87263
-22,284,3.87263
-21,277,3.87526
-21,278,3.87526
-21,279,3.8778900000000003
-21,280,3.87526
-21,281,3.87263
-21,282,3.88052
-21,283,3.87526
-21,284,3.87526
-20,277,3.8778900000000003
-20,278,3.87263
-20,279,3.87263
-20,280,3.87263
-20,281,3.87526
-20,282,17.02
-20,283,3.87526
-20,284,3.87263
-19,277,3.87526
-19,278,3.87263
-19,279,3.88052
-19,280,3.88315
-19,281,3.87263
-19,282,3.88052
-19,283,3.88052
-19,284,3.87263
-18,277,3.87526
-18,278,3.87526
-18,279,3.88052
-18,280,3.87263
-18,281,3.87526
-18,282,3.87526
-18,283,3.8778900000000003
-18,284,3.8778900000000003
-17,277,3.8778900000000003
-17,278,3.87526
-17,279,3.8778900000000003
-17,280,3.87526
-17,281,3.87526
-17,282,3.87526
-17,283,3.87526
-17,284,3.87526
-16,277,3.8778900000000003
-16,278,3.8778900000000003
-16,279,17.02
-16,280,3.87526
-16,281,3.87263
-16,282,17.02
-16,283,3.87526
-16,284,3.87526
-15,277,3.8778900000000003
-15,278,3.87526
-15,279,3.87526
-15,280,3.87526
-15,281,3.87263
-15,282,3.88315
-15,283,3.87526
-15,284,17.02
-14,277,3.8778900000000003
-14,278,3.8778900000000003
-14,279,17.02
-14,280,3.87526
-14,281,3.87526
-14,282,3.88315
-14,283,3.87526
-14,284,3.8778900000000003
-13,277,3.8778900000000003
-13,278,3.8778900000000003
-13,279,3.87263
-13,280,3.87526
-13,281,3.87263
-13,282,17.02
-13,283,3.87526
-13,284,3.87526
-12,277,3.87526
-12,278,3.87526
-12,279,3.87526
-12,280,3.87263
-12,281,3.87263
-12,282,3.88315
-12,283,3.87526
-12,284,3.87526
-11,277,3.88052
-11,278,3.88052
-11,279,3.8778900000000003
-11,280,3.87526
-11,281,3.87526
-11,282,3.88052
-11,283,3.87526
-11,284,3.8778900000000003
-10,277,3.8778900000000003
-10,278,17.02
-10,279,3.87526
-10,280,3.87526
-10,281,3.87526
-10,282,3.87263
-10,283,3.87526
-10,284,17.02
-9,277,3.87526
-9,278,3.8778900000000003
-9,279,3.87526
-9,280,3.87263
-9,281,3.87263
-9,282,3.88315
-9,283,3.87263
-9,284,3.87263
-8,277,3.8778900000000003
-8,278,3.88052
-8,279,3.87263
-8,280,3.87526
-8,281,3.87526
-8,282,3.88315
-8,283,17.02
-8,284,3.8778900000000003
-7,277,3.8778900000000003
-7,278,17.02
-7,279,3.87526
-7,280,3.87526
-7,281,3.87526
-7,282,3.8778900000000003
-7,283,3.87526
-7,284,3.8778900000000003
-6,277,17.02
-6,278,3.8778900000000003
-6,279,3.87526
-6,280,3.87526
-6,281,3.87263
-6,282,3.88052
-6,283,17.02
-6,284,3.8778900000000003
-5,277,17.02
-5,278,3.8778900000000003
-5,279,3.88315
-5,280,3.87526
-5,281,3.87526
-5,282,3.8778900000000003
-5,283,3.87526
-5,284,3.87526
-4,277,3.8778900000000003
-4,278,3.8778900000000003
-4,279,3.88052
-4,280,3.87526
-4,281,3.88315
-4,282,3.87526
-4,283,3.87263
-4,284,3.87526
-3,277,3.8778900000000003
-3,278,17.02
-3,279,17.02
-3,280,3.87526
-3,281,17.02
-3,282,3.87526
-3,283,3.87526
-3,284,3.87526
-2,277,3.8778900000000003
-2,278,3.8778900000000003
-2,279,3.8778900000000003
-2,280,3.87526
-2,281,3.87526
-2,282,17.02
-2,283,3.87526
-2,284,3.8778900000000003
-1,277,3.8778900000000003
-1,278,17.02
-1,279,3.8778900000000003
-1,280,3.87526
-1,281,3.87526
-1,282,17.02
-1,283,3.8778900000000003
-1,284,3.87526
0,277,3.8778900000000003
0,278,3.8778900000000003
0,279,3.87263
0,280,3.87526
0,281,17.02
0,282,3.88315
0,283,3.87526
0,284,3.87526
1,277,3.8778900000000003
1,278,3.87526
1,279,3.88052
1,280,3.87263
1,281,3.87263
1,282,3.87526
1,283,3.87263
1,284,3.87526
2,277,17.02
2,278,3.8778900000000003
2,279,3.87526
2,280,3.87526
2,281,3.87526
2,282,3.87263
2,283,17.02
2,284,3.87526
3,277,3.8778900000000003
3,278,17.02
3,279,17.02
3,280,3.87526
3,281,17.02
3,282,3.88315
3,283,3.87526
3,284,3.87526
4,277,3.8778900000000003
4,278,3.88052
4,279,3.8778900000000003
4,280,3.87526
4,281,3.87526
4,282,3.8778900000000003
4,283,3.87526
4,284,3.87526
5,277,3.8778900000000003
5,278,17.02
5,279,3.8778900000000003
5,280,17.02
5,281,3.87263
5,282,3.8778900000000003
5,283,3.87526
5,284,17.02
6,277,3.87526
6,278,3.8778900000000003
6,279,3.87263
6,280,3.87526
6,281,3.87263
6,282,3.88052
6,283,17.02
6,284,17.02
7,277,3.8778900000000003
7,278,3.8778900000000003
7,279,3.8778900000000003
7,280,17.02
7,281,3.87526
7,282,3.8778900000000003
7,283,17.02
7,284,3.8778900000000003
8,277,3.8778900000000003
8,278,3.8778900000000003
8,279,3.88052
8,280,3.87526
8,281,3.87263
8,282,17.02
8,283,17.02
8,284,3.8778900000000003
9,277,17.02
9,278,3.8778900000000003
9,279,3.87263
9,280,3.87263
9,281,3.87263
9,282,3.8778900000000003
9,283,3.87526
9,284,17.02
10,277,3.87526
10,278,3.87526
10,279,17.02
10,280,3.87526
10,281,3.87263
10,282,17.02
10,283,3.8778900000000003
10,284,17.02
11,277,17.02
11,278,3.8778900000000003
11,279,3.8778900000000003
11,280,17.02
11,281,3.87526
11,282,3.88052
11,283,3.87526
11,284,3.87526
12,277,17.02
12,278,17.02
12,279,17.02
12,280,17.02
12,281,3.87263
12,282,3.88052
12,283,3.87526
12,284,3.87526
13,277,3.87526
13,278,3.87526
13,279,3.88052
13,280,3.88052
13,281,17.02
13,282,3.88315
13,283,3.87263
13,284,3.87526
14,277,3.87526
14,278,3.8778900000000003
14,279,3.88052
14,280,3.88052
14,281,3.8778900000000003
14,282,17.02
14,283,3.88315
14,284,3.87263
15,277,17.02
15,278,3.87526
15,279,3.87263
15,280,17.02
15,281,3.87263
15,282,17.02
15,283,3.87526
15,284,3.87526
16,277,17.02
16,278,3.8778900000000003
16,279,17.02
16,280,3.87263
16,281,3.87526
16,282,3.8778900000000003
16,283,3.87526
16,284,3.87526
17,277,3.88052
17,278,3.8778900000000003
17,279,17.02
17,280,3.87526
17,281,17.02
17,282,3.87526
17,283,17.02
17,284,17.02
18,277,3.87526
18,278,3.87526
18,279,3.87526
18,280,3.87263
18,281,17.02
18,282,17.02
18,283,3.87263
18,284,3.87526
19,277,3.87526
19,278,3.87526
19,279,3.88052
19,280,17.02
19,281,17.02
19,282,17.02
19,283,17.02
19,284,3.87263
20,277,17.02
20,278,3.87526
20,279,17.02
20,280,3.87263
20,281,3.88052
20,282,17.02
20,283,3.87263
20,284,17.02
21,277,3.8778900000000003
21,278,17.02
21,279,3.87263
21,280,3.87526
21,281,17.02
21,282,17.02
21,283,4.56432
21,284,3.87526
22,277,3.87526
22,278,3.8778900000000003
22,279,3.8778900000000003
22,280,3.87526
22,281,3.88052
22,282,3.88052
22,283,3.87263
22,284,3.87263
23,277,17.02
23,278,17.02
23,279,17.02
23,280,17.02
23,281,3.88052
23,282,3.88315
23,283,17.02
23,284,3.87263
24,277,17.02
24,278,3.87526
24,279,17.02
24,280,3.87526
24,281,17.02
24,282,3.88052
24,283,3.87526
24,284,3.87526
25,277,17.02
25,278,3.87526
25,279,17.02
25,280,17.02
25,281,3.87263
25,282,3.88052
25,283,17.02
25,284,3.87263
26,277,3.8778900000000003
26,278,3.8778900000000003
26,279,3.88052
26,280,3.87526
26,281,3.87263
26,282,3.88052
26,283,3.87526
26,284,3.87526
27,277,3.8778900000000003
27,278,3.87526
27,279,3.88315
27,280,17.02
27,281,17.02
